hgnc_symbol,ensembl_transcript_id
HAGH,ENST00000564445
HAGH,ENST00000566644
HAGH,ENST00000397356
HAGH,ENST00000455446
HAGH,ENST00000397353
HAGH,ENST00000567398
HAGH,ENST00000566709
HAGH,ENST00000569339
HAGH,ENST00000569700
HAGH,ENST00000567190
HAGH,ENST00000564518
HAGH,ENST00000565097
RGS7,ENST00000690539
RGS7,ENST00000687018
RGS7,ENST00000440928
RGS7,ENST00000348120
RGS7,ENST00000366563
RGS7,ENST00000366564
RGS7,ENST00000366565
RGS7,ENST00000687918
RGS7,ENST00000686277
RGS7,ENST00000689639
RGS7,ENST00000686049
RGS7,ENST00000691399
RGS7,ENST00000690224
RGS7,ENST00000693043
RGS7,ENST00000691979
RGS7,ENST00000690614
RGS7,ENST00000685936
RGS7,ENST00000688703
RGS7,ENST00000692860
RGS7,ENST00000689640
RGS7,ENST00000686340
RGS7,ENST00000687793
RGS7,ENST00000688438
RGS7,ENST00000686241
RGS7,ENST00000690236
RGS7,ENST00000693448
RGS7,ENST00000692410
RGS7,ENST00000687448
RGS7,ENST00000691485
RGS7,ENST00000689602
RGS7,ENST00000688738
RGS7,ENST00000688216
RGS7,ENST00000686645
RGS7,ENST00000690356
RGS7,ENST00000690019
RGS7,ENST00000688545
RGS7,ENST00000691271
RGS7,ENST00000687977
RGS7,ENST00000689115
RGS7,ENST00000687040
RGS7,ENST00000688633
RGS7,ENST00000691989
RGS7,ENST00000691597
RGS7,ENST00000686465
RGS7,ENST00000688737
RGS7,ENST00000688863
RGS7,ENST00000686908
RGS7,ENST00000691285
RGS7,ENST00000685354
RGS7,ENST00000689223
RGS7,ENST00000688028
RGS7,ENST00000687111
RGS7,ENST00000689595
RGS7,ENST00000686423
RGS7,ENST00000692317
FICD,ENST00000552695
FICD,ENST00000552758
FICD,ENST00000361549
FICD,ENST00000549641
FICD,ENST00000546448
SEC22B,ENST00000578049
SEC22B,ENST00000618538
PTS,ENST00000528679
PTS,ENST00000525645
PTS,ENST00000531673
PTS,ENST00000280362
PTS,ENST00000525803
PTS,ENST00000524931
PTS,ENST00000531175
PTS,ENST00000527428
PTS,ENST00000527635
UTRN,ENST00000367545
UTRN,ENST00000433557
UTRN,ENST00000628146
UTRN,ENST00000421035
UTRN,ENST00000367526
UTRN,ENST00000367525
UTRN,ENST00000480333
UTRN,ENST00000367524
UTRN,ENST00000432686
UTRN,ENST00000417142
UTRN,ENST00000455022
UTRN,ENST00000465299
UTRN,ENST00000460618
VEZF1,ENST00000258963
VEZF1,ENST00000581208
VEZF1,ENST00000584396
VEZF1,ENST00000583932
