hgnc_symbol,refseq_mrna
HAGH,NM_005326
HAGH,NM_001363912
HAGH,NM_001286249
HAGH,NM_001040427
HAGH,NM_001363914
RGS7,NM_001374810
RGS7,NM_001364886
RGS7,NM_001282773
RGS7,NM_001374811
RGS7,NM_001374816
RGS7,NM_001282778
RGS7,NM_002924
RGS7,NM_001374806
RGS7,NM_001282775
RGS7,NM_001374808
RGS7,NM_001350114
RGS7,NM_001350113
RGS7,NM_001374813
RGS7,NM_001374809
RGS7,NM_001350115
RGS7,NM_001350116
RGS7,NM_001374807
RGS7,NM_001374814
RGS7,NM_001374815
RGS7,NM_001374812
FICD,NM_007076
SEC22B,NM_004892
PTS,NM_000317
UTRN,NM_007124
UTRN,NM_001375323
VEZF1,NM_007146
VEZF1,NM_001330393
MED29,NM_017592
MED29,NM_001317770
FLOT1,NM_001318875
FLOT1,NM_005803
GOLM2,NM_138423
GOLM2,NM_177974
BTN2A1,NM_007049
BTN2A1,NM_078476
BTN2A1,NM_001197234
BTN2A1,NM_001197233
MYBL1,NM_001080416
MYBL1,NM_001294282
MYBL1,NM_001144755
YIPF6,NM_001195214
YIPF6,NM_173834
TGOLN2,NM_001206841
TGOLN2,NM_006464
TGOLN2,NM_001206844
TGOLN2,NM_001368095
TGOLN2,NM_001368096
FAM13B,NM_001385866
FAM13B,NM_001385996
FAM13B,NM_001385977
FAM13B,NM_001385998
FAM13B,NM_001385992
FAM13B,NM_016603
FAM13B,NM_001385921
FAM13B,NM_001385870
FAM13B,NM_001385874
FAM13B,NM_001385868
FAM13B,NM_001385980
FAM13B,NM_001385994
FAM13B,NM_001385869
FAM13B,NM_001385873
FAM13B,NM_001385872
FAM13B,NM_001385995
FAM13B,NM_001385979
FAM13B,NM_001101801
FAM13B,NM_001385999
FAM13B,NM_001385976
FAM13B,NM_001385867
FAM13B,NM_001385978
FAM13B,NM_001385997
FAM13B,NM_001385991
FAM13B,NM_001101800
NR3C1,NM_001364180
NR3C1,NM_001364181
NR3C1,NM_000176
NR3C1,NM_001204258
NR3C1,NM_001204259
NR3C1,NM_001204260
NR3C1,NM_001204261
NR3C1,NM_001204262
NR3C1,NM_001204263
